package,file_path,line_number,type,severity,description
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DefaultOrmQueryEngine.java,141,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""result"" is nullable here."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/DtoQueryIterator.java,34,BUG,LOW,"Add a ""NoSuchElementException"" for iteration beyond the end of the collection."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/LimitOffsetPagedList.java,94,BUG,MEDIUM,"Either re-interrupt this method or rethrow the ""InterruptedException"" that can be caught here."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/query/SqlTreeBuilder.java,687,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""parentJoin"" is nullable here."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/querydefn/DefaultOrmQuery.java,258,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/querydefn/DefaultOrmQuery.java,1559,BUG,LOW,"This method's return value is marked ""@Nonnull via meta-annotation"" but null is returned."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/querydefn/OrmQueryDetail.java,120,BUG,LOW,"This class overrides ""hashCode()"" and should therefore also override ""equals()""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/transaction/JtaTransaction.java,38,BUG,MEDIUM,"Change this condition so that it does not always evaluate to ""false"""
ebean,ebean-core/src/main/java/io/ebeaninternal/server/transaction/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/transaction/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/DefaultTypeManager.java,210,BUG,MEDIUM,"Use an ""instanceof"" comparison instead."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/ScalarTypeWrapper.java,154,BUG,HIGH,"Refactor this getter so that it actually refers to the field ""scalarType""."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/SimpleAesEncryptor.java,35,VULNERABILITY,HIGH,"Use a dynamically-generated, random IV."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/SimpleAesEncryptor.java,48,VULNERABILITY,HIGH,Use another cipher mode or disable padding.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/SimpleAesEncryptor.java,67,VULNERABILITY,HIGH,Use another cipher mode or disable padding.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/UtilDateParser.java,9,BUG,MEDIUM,"Make ""dateTimeProto"" an instance variable."
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/type/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/server/util/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/server/util/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/main/java/io/ebeaninternal/util/package.html,1,BUG,MEDIUM,Insert a <!DOCTYPE> declaration to before this <HTML> tag.
ebean,ebean-core/src/main/java/io/ebeaninternal/util/package.html,1,BUG,MEDIUM,"Add ""lang"" and/or ""xml:lang"" attributes to this ""<html>"" element"
ebean,ebean-core/src/test/java/io/ebeaninternal/server/deploy/TableJoinTest.java,57,BUG,MEDIUM,Replace this assertion to not have the same actual and expected expression.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,51,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,55,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,58,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,71,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,74,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,85,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,89,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,92,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,104,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/DefaultTypeManagerTest.java,107,BUG,MEDIUM,Add an assertion predicate after calling this method.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareListTest.java,289,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareListTest.java,297,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareMapTest.java,72,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareMapTest.java,80,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareSetTest.java,69,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-core/src/test/java/io/ebeaninternal/server/type/ModifyAwareSetTest.java,77,BUG,HIGH,Change the assertion arguments to not compare dissimilar types.
ebean,ebean-ddl-generator/src/main/java/io/ebeaninternal/dbmigration/model/build/ModelBuildPropertyVisitor.java,209,BUG,MEDIUM,"A ""NullPointerException"" could be thrown; ""compoundKey"" is nullable here."
ebean,ebean-ddl-generator/src/test/java/io/ebeaninternal/dbmigration/model/ModelContainerTest.java,106,BUG,LOW,Test the emptiness of the list before calling this assertion predicate.
