file_path,line_number,type,severity,description
/tooling/hibernate-gradle-plugin/src/main/java/org/hibernate/orm/tooling/gradle/enhance/EnhancementHelper.java,80,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/results/graph/embeddable/internal/AbstractNonAggregatedIdentifierMappingInitializer.java,186,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/query/sql/internal/ResultSetMappingProcessor.java,245,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/internal/AnnotatedColumn.java,389,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/type/EntityType.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/jaxb/hbm/transform/HbmXmlTransformer.java,1251,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-envers/src/main/java/org/hibernate/envers/configuration/internal/metadata/CollectionMappedByResolver.java,45,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/metamodel-generator/src/main/java/org/hibernate/processor/validation/ProcessorSessionFactory.java,747,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/event/internal/DefaultLoadEventListener.java,316,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/internal/MapBinder.java,188,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/model/source/internal/hbm/ModelBinder.java,3171,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/sql/ast/spi/AbstractSqlAstTranslator.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/internal/AbstractSharedSessionContract.java,210,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/tooling/metamodel-generator/src/main/java/org/hibernate/processor/validation/ProcessorSessionFactory.java,Various,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/boot/jaxb/hbm/transform/HbmXmlTransformer.java,1584,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
/hibernate-core/src/main/java/org/hibernate/mapping/BasicValue.java,889,Quality,Medium,Type: Dereference null return value | Category: Null pointer dereferences
